"Qty","Reference","Description","Value/MPN","Purchase Link"
"1","C1","0805 Capacitor","10µF","~"
"1","D1","","LED","~"
"1","J1","","Conn_02x05_Odd_Even","~"
"1","J2","","Screw_Terminal_01x03","~"
"1","J3","","Screw_Terminal_01x06","~"
"1","Q1","","PBSS4350SS","https://www.digikey.com/en/products/detail/nexperia-usa-inc/PBSS4350SS115/1692852?s=N4IgTCBcDaIAoCEDKSAsBmArABhQGgEYDMQBdAXyAhttps://assets.nexperia.com/documents/data-sheet/BC846BPN.pdf"
"3","R1, R2, R4","0805 Resistor","1KΩ","~"
"2","RV1, RV2","","Potentiometer","~"
"1","U1","","ESP32-WROOM-32D","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf"
"1","U3","","R-78E3.3-1.0","https://www.digikey.com/en/products/detail/recom-power/R-78E3-3-1-0/5327711"
